tNotaCredito;tItem;tDocumento;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
D00130000000411;2;B00130000025806;2178;34,33070866;6,179527559;3,08976378;0;43,6;43,6;0;0;1;6,179527559;3,08976378;0;43,6;NULL;NULL;0;NULL;NULL;NULL
D00130000000411;1;B00130000025806;2178;36,77165354;6,618897638;3,309448819;0;46,7;46,7;0;0;1;6,618897638;3,309448819;0;46,7;NULL;NULL;0;NULL;NULL;NULL
D00130000000410;1;B00130000025809;2140;39,05511811;7,02992126;3,51496063;0;49,6;49,6;0;0;1;7,02992126;3,51496063;0;49,6;NULL;NULL;0;NULL;NULL;NULL
D00130000000409;4;B00130000025810;1516;6,299212598;1,133858268;0,566929134;0;8;8;0;0;2;2,267716535;1,133858268;0;16;NULL;NULL;0;NULL;NULL;NULL
D00130000000409;3;B00130000025810;468;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000409;2;B00130000025810;1842;18,8976378;3,401574803;1,700787402;0;24;24;0;0;2;6,803149606;3,401574803;0;48;NULL;NULL;0;NULL;NULL;NULL
D00130000000409;1;B00130000025810;2297;13,55932203;2,440677966;0;0;16;16;0;0;1;2,440677966;0;0;16;NULL;NULL;0;NULL;NULL;NULL
D00130000000408;1;B00130000025757;2151;21,96850394;3,954330709;1,977165354;0;27,9;27,9;0;0;1;3,954330709;1,977165354;0;27,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000407;1;B00130000025660;2144;23,54330709;4,237795276;2,118897638;0;29,9;29,9;0;0;1;4,237795276;2,118897638;0;29,9;NULL;NULL;0;NULL;NULL;NULL
D00130000000406;4;B00130000025569;2275;7,87E-05;1,42E-05;7,09E-06;0;0,0001;0,0001;0;0;1;1,42E-05;7,09E-06;0;0,0001;NULL;NULL;0;NULL;NULL;NULL
