tCodigoPedido;tItem;tTipoPedido;tCodigoProducto;tCodigoGrupo;tCodigoSubGrupo;tMoneda;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nRecargo;nDescuento;nPrecioOficial;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tObservacion;tCortesia;lImprime;tEstadoItem;tArea;lCombinacion;nCombinacion;lImprimeArea;tFacturado;tDocumento;lTransferido;tComanda;fregistro;tmozod;tusuariod;nInsumo;nGasto;nManoObra;nOrden;lCorte;tPosicion;fEnvio;nEnvio;tUnidadNegocio;tOferta;tAutorizaOferta;tSubalmacen;lRegistroVenta;fDiaContable;lAtendidoC;fAtendidoC;tUsuarioAtendio;lCantadoC;fCantadoC;lTipoEnvio;tGuiaTransporte;tCodigoEtiqueta;tCajaD;lNoCantado;tUsuarioAutorizaEnvio;tPerfilUsuarioAutoriza;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
2500055195;1;4;2418;17;1702;;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;2;4,71627907;2,882170543;0;33,8;;;1;N;2;0;0;1;P;B00130000059576;0;;14/07/2025 20:44;;WSInforest;0;0;0;0;0;;2025-07-14 20:44:11.623;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055194;1;4;2405;17;1706;;38,68217054;6,962790698;4,25503876;0;49,9;0;0;49,9;1;6,962790698;4,25503876;0;49,9;;;1;N;2;0;0;1;P;B00130000059575;0;;14/07/2025 20:39;;WSInforest;0;0;0;0;0;;2025-07-14 20:38:56.050;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055193;3;4;104;17;1704;;6,976744186;1,255813953;0,76744186;0;9;0;0;9;1;1,255813953;0,76744186;0;9;;;1;N;2;0;0;1;P;B00130000059574;0;;14/07/2025 20:36;;WSInforest;0;0;0;0;0;;2025-07-14 20:35:46.007;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055193;2;4;2383;17;1702;;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;;;1;N;2;0;0;1;P;B00130000059574;0;;14/07/2025 20:36;;WSInforest;0;0;0;0;0;;2025-07-14 20:35:46.007;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055193;1;4;510;17;1702;;7,751937984;1,395348837;0,852713178;0;10;0;0;10;1;1,395348837;0,852713178;0;10;;;1;N;2;0;0;1;P;B00130000059574;0;;14/07/2025 20:36;;WSInforest;0;0;0;0;0;;2025-07-14 20:35:46.007;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055192;5;1;210;6;610;NULL;8,527131783;1,534883721;0,937984496;0;11;0;0;11;1;1,534883721;0,937984496;0;11;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 20:44;91;CAJA;0;0;0;0;NULL;NULL;2025-07-14 20:43:36.807;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:43:36.790;0;NULL;NULL;15;0;;;0;0;NULL
2500055192;4;1;103;17;1702;NULL;7,751937984;1,395348837;0,852713178;0;10;0;0;10;1;1,395348837;0,852713178;0;10;NULL;NULL;1;N;5;0;0;1;NULL;NULL;NULL;;14/07/2025 20:33;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:40:36.327;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:40:36.317;0;NULL;NULL;15;0;;;0;0;NULL
2500055192;3;1;402;17;1702;NULL;13,10077519;2,358139535;1,441085271;0;16,9;0;0;16,9;1;2,358139535;1,441085271;0;16,9;NULL;NULL;1;N;2;0;0;1;NULL;NULL;NULL;;14/07/2025 20:32;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:40:36.327;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:40:36.317;0;NULL;NULL;15;0;;;0;0;NULL
2500055192;2;1;231;6;610;NULL;9,302325581;1,674418605;1,023255814;0;12;0;0;12;1;1,674418605;1,023255814;0;12;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 20:32;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:40:36.327;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:40:36.317;0;NULL;NULL;15;0;;;0;0;NULL
2500055192;1;1;210;6;610;NULL;8,527131783;1,534883721;0,937984496;0;11;0;0;11;1;1,534883721;0,937984496;0;11;NULL;NULL;1;N;3;0;0;1;NULL;NULL;NULL;;14/07/2025 20:32;91;CAJA;0;0;0;1;NULL;NULL;2025-07-14 20:40:36.327;1;1;;NULL;;NULL;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 20:40:36.317;0;NULL;NULL;15;0;;;0;0;NULL
2500055191;1;4;2411;17;1706;;41,00775194;7,381395349;4,510852713;0;52,9;0;0;52,9;1;7,381395349;4,510852713;0;52,9;;;1;N;2;0;0;1;P;B00130000059573;0;;14/07/2025 20:31;;WSInforest;0;0;0;0;0;;2025-07-14 20:31:00.237;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055190;5;1;461;17;1704;NULL;7,751937984;1,395348837;0,852713178;0;10;0;0;10;1;1,395348837;0,852713178;0;10;S;NULL;1;N;2;0;0;1;P;B00A12000004036;NULL;;14/07/2025 21:01;86;CAJA;0;0;0;0;NULL;NULL;2025-07-14 21:01:00.000;1;NULL;NULL;NULL;;1;14/07/2025 0:00;NULL;NULL;NULL;1;2025-07-14 21:01:22.803;0;NULL;NULL;15;NULL;;;0;0;NULL
2500055189;1;4;2147;14;1405;;14,65116279;2,637209302;1,611627907;0;18,9;0;0;18,9;1;2,637209302;1,611627907;0;18,9;;;1;N;6;0;0;1;P;B00130000059572;0;;14/07/2025 20:13;;WSInforest;0;0;0;0;0;;2025-07-14 20:12:36.967;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055188;1;4;110;17;1701;;27,13178295;4,88372093;2,984496124;0;35;0;0;35;1;4,88372093;2,984496124;0;35;;;1;N;2;0;0;1;P;B00130000059571;0;;14/07/2025 20:11;;WSInforest;0;0;0;0;0;;2025-07-14 20:10:56.317;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055187;1;4;2152;14;1407;;23,17829457;4,172093023;2,549612403;0;29,9;0;0;29,9;1;4,172093023;2,549612403;0;29,9;;;1;N;6;0;0;1;P;B00130000059570;0;;14/07/2025 20:10;;WSInforest;0;0;0;0;0;;2025-07-14 20:10:31.130;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055186;1;4;2412;17;1706;;41,00775194;7,381395349;4,510852713;0;52,9;0;0;52,9;1;7,381395349;4,510852713;0;52,9;;;1;N;2;0;0;1;P;B00130000059569;0;;14/07/2025 20:00;;WSInforest;0;0;0;0;0;;2025-07-14 19:59:56.770;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055185;2;4;2146;14;1405;;20,07751938;3,613953488;2,208527132;0;25,9;0;0;25,9;1;3,613953488;2,208527132;0;25,9;;;1;N;6;0;0;1;P;B00130000059568;0;;14/07/2025 19:57;;WSInforest;0;0;0;0;0;;2025-07-14 19:57:21.150;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
2500055185;1;4;2161;4;405;;6,899224806;1,241860465;0,758914729;0;8,9;0;0;8,9;1;1,241860465;0,758914729;0;8,9;;;1;N;6;0;0;1;P;B00130000059568;0;;14/07/2025 19:57;;WSInforest;0;0;0;0;0;;2025-07-14 19:57:21.150;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;;NULL;NULL;NULL
