tCodigoProducto;tGrupo;tSubGrupo;tTipoProducto;tDetallado;tResumido;tMoneda;lImpuesto1;lImpuesto2;lImpuesto3;lImpuesto4;lImpuesto5;lImpuesto6;lImpuesto7;lImpuesto8;lImpuesto9;lImpuesto10;lImpuesto11;lImpuesto12;lImpuesto13;lImpuesto14;lImpuesto15;tDescargo;nPrecioVenta;nPrecioDelivery;nPrecioLlevar;nPrecioCanal4;nPrecioCanal5;tCortesia;lModificable;tArea;lImprimeArea;lEspecial;lFijo;lActivo;lCombinacion;nCombinacion;nBoton;tIcono;oFoto;tUsuario;fRegistro;tEnlace;tCajaRapida;nBotonRapido;nInsumo;nInsumo2;nInsumo3;nInsumo4;nInsumo5;nGasto;nGasto2;nGasto3;nGasto4;nGasto5;nManoObra;nManoObra2;nManoObra3;nManoObra4;nManoObra5;tBarra;lPropiedad;tInfhotel;lDescuento;lLocal;lDelivery;lLlevar;lCanal4;lCanal5;tBotonPalm;tUnidadNegocio;lReplica;lMultiArea;tAlternativa;lControlInsumoCritico;tCodigoInsumo;nTiempo;lBalanza;lSolicitaAutorizacionEnvio;lDefineAreaProduccion;tCodigoProductoSunat;nPrecioVentaRefer;nCombinacionMinima;lNuevoModificado;tCodigoSKU;lLey1;lActivaHomologacionExterno;SURLIMAGE;lActivaPatioComida;tDescripcionPatio;tStockPlatoCritico;tAplicaExoneracion;tAplicaInafectacion;tNombrePatio;lComboVisible;IntegracionWebApi
455;17;1701;1;Naked Red Velvet;Naked Red Velvet;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;60;60;60;60;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;10/02/2022 12:16;54;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010103;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;Naked Red Velvet;NULL;0
456;17;1701;1;Naked Chocolate;Naked Chocolate;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;60;60;60;60;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;10/02/2022 12:16;56;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010108;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;Naked Chocolate;NULL;0
457;7;701;1;Topper Torta;Topper Torta;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;10;10;10;10;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;26/07/2019 16:14;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3200099;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
458;4;416;1;Cake Pops;Cake Pops;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;10;10;10;10;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:34;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3008087;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
459;4;416;1;School Cakes;School Cakes;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;10;0;10;10;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;22/02/2022 15:15;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010109;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;0;0;School Cakes;NULL;0
460;8;803;1;Cruffin Manjar;Cruffin Manjar;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;8;8;8;8;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;04/01/2022 14:32;10;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3001022;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
461;17;1704;1;galleta rellena nutella;galleta rellena nutella;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;10;10;10;10;0;NULL;0;2;1;NULL;NULL;1;0;0;0;NULL;NULL;ADMIN;03/07/2025 23:18; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2060001;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;https://blobmasac.blob.core.windows.net/img-totem/0000461.jpg;0;;0;0;0;galleta rellena nutella;0;1
462;13;1305;1;Galleta Rellena Manjar;Galleta Rellena Manjar;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;8;8;8;8;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:34;94;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3009021;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
463;15;1502;1;Desayuno Rappi;Desayuno Rappi;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;19,9;0;0;0;0;NULL;0;1;1;NULL;NULL;0;1;3;0;NULL;NULL;ADMIN;10/02/2022 12:21;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;0;1;0;NULL;1;1;0;;0;;5;0;0;0;;0;1;1;;0;0;;0;;0;0;0;Desayuno Rappi;NULL;0
464;17;1701;1;Bruselina de Chocolate con Fresa 6P;Buselina Choco Fresa 6P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;55;55;55;55;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;26/07/2019 16:46;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3001004;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
465;17;1701;1;Bruselina  de Chocolate con Lucuma 6P;Buselina Choco Lucuma 6P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;55;55;55;55;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;26/07/2019 16:46;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3001003;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
466;17;1701;1;Bruselina de Vainilla con Fresa 6P;Bruselina Vain Fresa 6P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;55;55;55;55;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;26/07/2019 16:46;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3001007;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0;NULL;NULL;NULL;NULL;NULL;NULL;0
